nombre;precio;met_pago;link;todo
iPhone 14 128 GB + Cable USB-C Lightning 1mt;$1.699.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/apple/iphone-14-128-gb-cable-1mts/f;"Incluye accesorio
iPhone 14 128 GB + Cable USB-C Lightning 1mt
$2.056.138
17% OFF
$1.699.999
Conexión Total
$1.529.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$1.264.462"
iPhone 14 256 GB + Cable USB-C Lightning 2mts;$1.999.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/apple/iphone-14-256-gb-cable-2mts/f;"Incluye accesorio
iPhone 14 256 GB + Cable USB-C Lightning 2mts
$2.721.298
26% OFF
$1.999.999
Conexión Total
$1.799.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$1.487.603"
Xiaomi Redmi 14C 128 GB;$324.799;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/xiaomi/xiaomi-redmi-14c-128-gb/f;"Incluye accesorios
Xiaomi Redmi 14C 128 GB
$349.999
7% OFF
$324.799
Conexión Total
$292.319
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$241.586"
OPPO A40 256 GB;$299.999;"6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta";/celulares/oppo/oppo-a40-256-gb/f;"Lanzamiento
Incluye accesorios
OPPO A40 256 GB

2 colores

$485.999
38% OFF
$299.999
Conexión Total
$269.999
*
6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta
*Precio sin impto.$223.140"
Motorola Razr 50 Ultra 512 GB;$1.499.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-razr-50-ultra/f;"Incluye accesorios
Motorola Razr 50 Ultra 512 GB

3 colores

$2.220.999
32% OFF
$1.499.999
Conexión Total
$1.349.999
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$1.115.702"
ZTE Blade V60 256 GB;$299.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/zte/zte-blade-v60-256-gb/f;"Incluye accesorios
ZTE Blade V60 256 GB
$402.999
25% OFF
$299.999
Conexión Total
$269.999
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$223.140"
iPhone 14 Pro 256 GB + Cable Lightning 2mts;$2.699.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/apple/iphone-14-pro-256-gb-cable-2-mts/f;"iPhone 14 Pro 256 GB + Cable Lightning 2mts
$3.369.798
19% OFF
$2.699.999
Conexión Total
$2.429.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$2.008.264"
ZTE Blade A34 64 GB;$114.999;"Precio exclusivo

Abonando en 1 pago";/celulares/zte/zte-blade-a34/f;"Incluye accesorios
ZTE Blade A34 64 GB
$201.999
43% OFF
$114.999
Conexión Total
$103.499
*

Precio exclusivo

Abonando en 1 pago

*Precio sin impto.$85.537"
Samsung Galaxy A06 64 GB;$189.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a06-64-gb/f;"Samsung Galaxy A06 64 GB

2 colores

$265.999
28% OFF
$189.999
Conexión Total
$170.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$141.322"
ZTE Blade A75 5G 256 GB;$239.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/zte/zte-blade-a75-5g-256gb/f;"Incluye accesorios
ZTE Blade A75 5G 256 GB
$329.999
27% OFF
$239.999
Conexión Total
$215.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$178.512"
Xiaomi Redmi Note 13 128 GB;$416.899;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/xiaomi/xiaomi-redmi-note-13-128-gb/f;"Incluye accesorios
Xiaomi Redmi Note 13 128 GB
$519.999
19% OFF
$416.899
Conexión Total
$375.209
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$310.091"
